Year,Month,households,subsidies,urban_popln,const_price,new_const_units,income,interest_rate,gdp,unemployment_rate,home_prices
1940,1,34949,0.159,72.247,23.2,1257,2399.7,1.22,15137,4.0,67.73899999999999
1941,1,39107,0.159,72.612,23.2,1074,2353.8,0.68,15204,4.0,67.73899999999999
1942,1,40532,0.176,71.508,22.9,1281,2399.7,1.15,15137,3.9,68.506
1943,1,40532,0.195,71.879,23.2,1302,2370.8,1.15,15204,3.9,68.506
1944,1,40532,0.195,71.879,22.5,1274,2399.7,1.15,15250,4.0,68.107
1945,1,42182,0.21,71.508,24.3,1328,2353.8,1.3,15204,3.8,67.33
1946,1,34949,0.195,71.134,23.7,1337,2370.8,1.01,15248,6.5,66.507
1947,1,39107,0.159,71.134,23.2,1257,2353.8,1.03,15248,3.8,68.107
1948,1,40532,0.159,70.377,25.5,1076,2325.4,0.77,15248,6.0,66.507
1949,1,42182,0.195,72.247,25.2,1061,2325.4,0.68,15371,4.2,67.33
1950,1,43554,0.146,70.377,26.8,1272,2399.7,0.98,15977,6.0,67.73899999999999
1951,1,44673,0.234,71.879,29.5,1298,2370.8,1.15,17147,3.4,67.33
1952,1,45538,0.21,71.879,29.5,1328,2353.8,1.26,17584,3.0,68.506
1953,1,46385,0.159,72.247,29.6,1276,2399.7,1.0,18268,2.8,68.107
1954,1,46962,0.146,71.134,29.7,1337,2376.6,1.2,17960,6.0,67.73899999999999
1955,1,47874,0.176,72.612,30.7,1281,2353.8,1.26,18032,4.2,68.506
1956,1,48902,0.176,71.508,32.6,1281,2325.4,2.79,18808,4.4,69.263
1957,1,49673,0.21,72.247,32.6,1298,2399.7,2.68,18787,4.2,67.33
1958,1,50474,0.606,71.508,31.5,1348,2376.6,1.43,18155,6.7,65.563
1959,1,51435,0.176,71.879,32.8,1306,2376.6,2.98,19041,5.7,66.507
1960,1,52799,0.195,69.996,32.3,1348,2423.3,2.27,19390,6.7,66.938
1961,1,53557,0.159,70.757,32.5,1337,2509.1,2.47,19296,6.8,66.071
1962,1,54764,0.159,71.134,32.6,1347,2619.6,2.63,20521,5.7,67.33
1963,1,55270,0.327,70.377,33.1,1318,2672.3,3.5,20842,5.1,66.071
1964,1,56149,0.21,70.377,32.9,1367,2922.5,3.45,21219,5.5,66.938
1965,1,57436,0.234,71.134,33.2,1281,3027.8,3.88,22770,4.2,69.263
1966,1,58406,0.278,72.612,33.8,1300,3230.2,4.13,24172,4.0,68.506
1967,1,59236,0.159,71.879,34.5,1328,3417.4,4.94,24602,3.8,68.506
1968,1,60813,0.254,72.247,36.6,1328,3591.7,5.2,25813,3.5,67.33
1969,1,62214,0.42,73.633,39.2,1396,3705.6,7.36,25929,3.7,67.73899999999999
1970,1,63401,0.606,73.623,39.2,1438,3805.0,8.61,26181,4.6,68.107
1971,1,64778,0.944,73.643,40.1,1673,3959.8,3.99,26162,5.8,65.132
1972,1,66676,2.081,73.643,43.6,1995,4130.6,5.22,27690,5.6,66.507
1973,1,68251,2.639,73.643,47.3,2066,4411.9,8.96,28613,5.0,66.071
1974,1,69859,1.419,73.633,55.8,1944,4444.7,8.53,28270,5.2,66.507
1975,1,71120,2.081,73.663,60.1,1302,4475.0,5.02,28214,8.1,66.938
1976,1,72867,2.288,73.692,64.5,1258,4705.1,5.4,29469,8.5,65.563
1977,1,74142,2.639,73.682,72.9,1640,4861.2,5.54,30713,7.3,64.736
1978,1,76030,3.67,73.663,78.5,1865,5047.5,6.85,31982,6.7,65.563
1979,1,77330,3.059,73.663,86.9,1905,5159.3,10.51,32294,5.9,64.42399999999999
1980,1,80776,5.469,73.692,91.2,1793,5191.3,14.45,31990,6.4,63.965
1981,1,82368,11.096,74.042,98.6,1293,5264.4,15.93,32533,8.3,66.071
1982,1,83527,11.096,74.494,99.5,979,5399.5,13.82,31529,9.6,65.563
1983,1,83918,11.246,73.89,102.8,1187,5549.2,8.98,32340,9.2,65.132
1984,1,85290,11.506,74.644,106.4,1682,5962.5,10.24,34103,7.4,65.132
1985,1,86789,11.246,74.942,107.1,1722,6141.6,8.24,35582,7.2,64.736
1986,1,88458,12.743,74.942,107.2,1733,6296.4,8.67,36563,7.1,64.736
1987,1,89479,10.068,74.494,107.4,1772,6466.7,6.85,37685,6.8,64.736
1988,1,91124,11.246,74.942,114.2,1580,6730.2,6.58,38238,5.9,69.64
1989,1,92830,12.743,74.494,119.0,1407,7052.7,8.53,39694,5.2,75.086
1990,1,93347,12.743,75.3,119.8,1332,7181.9,8.35,39861,5.6,77.009
1991,1,94312,15.487,75.701,120.0,1270,7216.8,6.02,39648,6.8,76.012
1992,1,95669,15.487,74.942,122.6,1139,7507.2,3.85,40382,7.5,76.23899999999999
1993,1,96426,21.577,77.257,128.2,1200,7668.1,3.04,40942,7.4,77.243
1994,1,97107,21.577,75.701,132.4,1302,7905.0,3.62,42264,6.5,78.59100000000001
1995,1,98990,21.764,76.488,137.7,1361,8124.2,5.74,42885,5.7,80.59899999999999
1996,1,99627,24.183,77.636,138.2,1402,8464.7,5.54,44421,5.5,82.194
1997,1,101018,21.577,78.008,142.6,1442,8556.4,5.24,45616,5.1,84.86200000000001
1998,1,102528,21.577,79.057,141.6,1468,9202.0,5.56,45862,4.6,88.44200000000001
1999,1,103874,20.573,79.409,142.5,1673,9501.3,5.06,48148,4.3,95.344
2000,1,104705,19.69,79.234,142.2,1586,9799.9,5.91,48632,4.0,100.551
2001,1,108209,20.607,79.057,144.7,1574,10223.4,4.06,49783,4.6,111.109
2002,1,109297,24.183,79.928,144.4,1641,10514.7,1.82,50109,5.6,114.167
2003,1,111278,27.201,79.928,145.9,1688,10752.7,1.26,50796,5.9,130.884
2004,1,112000,27.201,80.269,150.2,1806,11048.4,1.04,53242,5.7,142.908
2005,1,113343,29.512,80.269,165.9,1892,11246.1,2.33,53719,5.4,168.338
2006,1,114384,25.93,80.099,182.6,2102,11746.9,4.65,55260,4.7,184.517
2007,1,116011,29.876,80.269,182.5,1794,11996.0,5.07,55454,4.7,182.798
2008,1,116783,32.883,80.944,187.8,1328,12137.1,2.98,55454,4.9,171.541
2009,1,117181,28.604,80.438,191.2,801,12292.0,0.13,53017,9.4,148.41
2010,1,117538,32.669,81.119,192.2,668,12361.5,0.2,53719,9.8,145.859
2011,1,119927,33.283,81.119,197.2,545,12605.1,0.14,54401,9.0,139.981
2012,1,121084,33.283,81.299,205.1,591,13116.5,0.1,55342,7.8,142.908
2013,1,122459,33.283,81.299,209.3,736,12941.8,0.14,56642,7.7,154.179
2014,1,123229,33.213,81.483,211.3,781,13116.5,0.09,56272,6.9,160.07399999999998
2015,1,124587,34.859,81.862,211.6,975,13874.1,0.13,58376,5.4,172.13299999999998
2016,1,125819,37.55,81.483,212.7,1059,14095.5,0.37,59084,5.0,177.649
2017,1,126224,35.771,81.862,217.3,1069,14416.8,0.79,59084,5.0,188.724
2018,1,127586,38.859,81.671,225.8,1135,15057.8,1.51,60099,3.9,199.227
2019,1,128579,35.771,82.459,233.8,1135,15684.8,1.7,61336,4.2,208.138
2020,1,128451,48.021,82.873,233.4,945,16229.6,0.19,62333,7.4,216.987
2021,1,129224,40.185,82.459,256.4,1258,16607.9,1.51,65651,5.0,242.325
2022,1,131202,44.147,83.084,328.94,1558,16601.9,3.99,65783,3.7,296.353
2023,1,131434,38.859,82.664,329.69,1609,16819.1,4.59,67039,3.7,297.464
1960,1,52799,0.146,71.879,32.7,1337,2425.5,2.75,19390,5.5,67.73899999999999
1961,1,55270,0.159,70.757,32.8,1353,2509.1,2.6,19395,6.0,66.938
1962,1,52799,0.176,70.757,32.8,1290,2608.1,2.95,20366,5.2,67.73899999999999
1963,1,54764,0.195,70.377,32.3,1353,2718.6,2.4,20677,5.9,67.33
1964,1,57436,0.21,71.508,32.6,1331,2882.1,3.0,21276,5.4,67.33
1965,1,56149,0.234,72.612,32.9,1298,3014.5,3.65,22547,4.4,67.73899999999999
1966,1,56149,0.254,71.879,34.4,1298,3230.2,3.71,24446,3.8,68.107
1967,1,57436,0.278,72.974,34.5,1302,3391.3,4.94,24446,3.9,69.263
1968,1,62214,0.327,72.612,36.6,1374,3581.3,5.54,25781,3.5,68.107
1969,1,60813,0.42,73.613,38.7,1371,3618.3,7.95,26079,3.6,68.107
1970,1,60813,0.606,73.623,39.2,1438,3838.2,8.67,25929,4.5,67.33
1971,1,64778,0.944,73.613,42.0,1944,4043.3,3.94,26181,5.9,64.42399999999999
1972,1,68251,1.419,73.653,43.6,2103,4115.2,4.33,28055,5.6,66.938
1973,1,63401,1.591,73.623,44.9,2258,4432.6,8.2,28606,4.9,66.938
1974,1,66676,2.081,73.623,50.6,1930,4484.4,9.56,28687,5.1,66.071
1975,1,72867,2.288,73.623,60.8,1271,4595.3,4.61,28613,8.8,66.071
1976,1,72867,2.639,73.682,64.5,1495,4673.8,5.55,29335,7.5,66.938
1977,1,72867,3.059,73.663,70.2,1685,4923.4,6.25,30713,6.3,65.563
1978,1,76030,3.67,73.692,77.1,1865,5047.5,6.79,31686,6.5,63.965
1979,1,82368,4.586,73.663,86.8,1759,5163.7,10.06,32236,6.2,65.132
1980,1,82368,5.469,73.663,91.1,1662,5145.1,12.81,32377,7.2,65.132
1981,1,80776,6.788,74.194,96.0,1379,5267.1,19.04,32533,7.8,66.071
1982,1,80776,8.691,74.344,99.6,1037,5430.3,13.77,31757,10.1,66.507
1983,1,82368,9.465,74.042,102.4,1240,5522.6,9.47,32318,8.5,66.507
1984,1,83527,10.068,74.194,106.8,1595,5971.0,9.76,34871,7.6,64.42399999999999
1985,1,83918,11.246,74.644,106.7,1719,6216.2,8.5,35346,7.2,64.736
1986,1,88458,11.096,74.494,107.9,1719,6469.4,6.58,36563,7.3,64.736
1987,1,88458,11.506,74.942,109.2,1833,6545.8,6.17,37132,6.7,64.736
1988,1,93347,12.743,74.644,114.9,1604,6804.3,6.89,38359,5.3,69.977
1989,1,95669,14.215,75.3,119.0,1489,7033.4,8.53,39691,5.4,73.946
1990,1,95669,15.487,75.3,119.6,1316,7236.8,8.45,40266,5.5,77.139
1991,1,94312,17.055,75.089,120.3,1173,7283.7,6.02,39694,6.8,75.569
1992,1,94312,18.42,75.3,122.6,1221,7570.2,3.99,40881,7.2,76.332
1993,1,96426,20.607,77.257,127.4,1171,7660.8,3.09,40997,7.4,77.03699999999999
1994,1,98990,21.764,75.701,132.4,1290,7929.4,3.85,42618,6.3,79.222
1995,1,102528,24.396,78.008,137.7,1346,8064.0,5.74,42618,5.7,80.528
1996,1,103874,25.075,77.636,137.7,1338,8362.4,5.51,42885,5.5,81.834
1997,1,103874,23.506,78.377,141.5,1379,8619.0,5.51,43856,5.1,83.956
1998,1,101018,21.577,78.377,141.5,1459,9081.2,5.56,45862,4.6,87.615
1999,1,103874,21.072,78.742,141.9,1554,9469.3,5.07,48148,4.5,93.208
2000,1,108209,19.69,79.057,143.0,1611,9913.7,5.73,50024,4.3,101.339
2001,1,104705,20.573,79.057,142.0,1529,10211.7,4.46,50024,4.2,111.109
2002,1,109297,24.183,79.928,144.3,1632,10539.0,1.75,50091,5.4,121.813
2003,1,112000,25.93,79.234,145.8,1722,10690.9,1.24,50796,5.8,129.355
2004,1,113343,27.201,79.757,162.2,1758,11115.6,1.22,52469,5.5,149.85
2005,1,112000,27.651,79.928,168.9,1934,11304.2,3.22,54153,4.8,172.13299999999998
2006,1,116011,28.604,79.757,177.2,2052,11702.8,4.46,54927,4.3,182.321
2007,1,116011,29.512,80.438,181.5,1713,11901.9,4.74,55490,4.6,182.823
2008,1,117181,29.876,80.099,184.0,1446,12080.4,3.97,55403,5.0,174.342
2009,1,119927,32.883,81.119,194.8,816,12361.5,0.21,53017,9.0,147.929
2010,1,119927,32.669,81.119,192.2,635,12447.1,0.15,53683,9.4,146.394
2011,1,117538,34.23,80.944,198.9,566,12776.6,0.13,54610,9.0,140.155
2012,1,121084,33.283,80.944,206.3,549,12999.8,0.05,55342,8.3,137.952
2013,1,119927,33.213,80.606,209.3,730,12813.9,0.14,55649,7.5,156.965
2014,1,122459,33.806,81.862,211.7,838,12967.5,0.12,57702,6.5,163.393
2015,1,127586,34.859,81.483,213.7,985,13905.7,0.16,58470,5.4,173.132
2016,1,125819,37.55,81.671,212.4,1059,14106.2,0.4,59084,5.0,177.558
2017,1,125819,35.771,81.671,219.7,1069,14509.3,0.41,59296,4.9,187.313
2018,1,127586,38.859,82.058,228.7,1208,14921.1,1.45,62333,4.2,197.178
2019,1,131434,40.185,82.664,240.9,1288,15568.9,2.04,62331,3.8,222.424
2020,1,128451,44.147,82.664,233.8,1182,16023.2,0.34,61622,5.9,215.837
2021,1,131434,45.299,82.873,276.7,1274,16607.9,2.18,64615,4.0,242.325
2022,1,131434,48.021,83.084,334.576,1346,16418.5,2.5,65462,3.7,299.38
1960,4,52799,0.327,69.996,32.4,1370,2428.8,1.98,19390,7.0,66.071
1961,4,53557,0.254,70.377,32.3,1370,2463.4,2.15,19390,6.5,65.563
1962,1,52799,0.278,70.757,32.3,1263,2649.3,2.19,20366,6.6,66.071
1963,7,56149,0.195,71.134,32.7,1370,2672.3,2.93,21219,5.6,69.263
1964,4,58406,0.254,71.508,32.9,1332,2912.9,3.49,22075,5.2,68.506
1965,5,56149,0.254,71.879,33.2,1289,3027.8,4.1,23198,4.2,67.73899999999999
1966,4,55270,0.159,72.247,34.5,1344,3249.2,5.02,24446,3.8,69.263
1967,8,57436,0.234,72.612,34.4,1282,3455.3,4.53,24719,3.8,69.977
1968,7,60813,0.159,72.974,36.2,1356,3578.5,6.52,25781,3.5,69.977
1969,6,63401,0.254,73.333,38.5,1350,3618.3,7.75,26076,3.5,68.858
1970,6,63401,0.278,73.602,39.2,1459,3905.1,8.98,25973,4.9,68.506
1971,3,66676,0.606,73.613,42.4,1844,4043.3,4.1,26181,5.9,65.563
1972,1,66676,0.944,73.623,43.4,2103,4130.6,4.66,27478,5.6,66.507
1973,8,68251,1.419,73.633,48.2,2195,4466.7,8.45,28613,4.9,68.506
1974,6,68251,1.419,73.643,57.7,1853,4419.0,9.34,28055,5.2,66.071
1975,10,69859,2.288,73.653,61.0,1272,4594.3,5.39,28270,8.5,68.506
1976,9,76030,3.67,73.663,66.9,1390,4714.6,5.49,29099,7.6,68.107
1977,10,77330,2.639,73.673,73.5,1732,4923.4,6.61,31337,6.6,66.071
1978,2,74142,3.67,73.682,79.3,1673,5094.2,10.51,32340,7.1,63.965
1979,2,77330,3.059,73.692,83.8,2007,5182.2,10.51,32377,5.8,65.132
1980,10,83527,4.586,73.738,93.7,1300,5216.6,17.82,31990,8.4,68.506
1981,10,83527,10.068,73.89,98.6,1378,5249.0,18.9,32386,7.5,67.73899999999999
1982,9,82368,10.068,74.042,100.0,1076,5459.3,10.31,31337,10.1,66.071
1983,12,86789,8.691,74.194,104.1,1370,5775.0,9.34,32318,8.2,68.506
1984,8,83527,9.465,74.344,106.5,1654,6101.7,9.35,34103,7.5,66.507
1985,3,89479,10.068,74.494,108.5,1711,6178.9,8.18,36210,7.3,65.563
1986,7,89479,12.743,74.644,107.6,1694,6461.8,6.1,36476,7.0,65.563
1987,2,92830,11.506,74.793,109.2,1735,6545.8,6.37,36822,6.5,64.42399999999999
1988,3,95669,14.215,74.942,114.9,1531,6773.5,6.89,39328,6.0,69.977
1989,7,91124,12.743,75.089,119.0,1465,7052.7,8.3,39632,5.7,75.565
1990,5,92830,14.215,75.3,120.2,1332,7224.7,8.29,40361,5.6,77.139
1991,4,96426,15.487,75.701,120.0,1234,7259.5,5.78,39759,7.0,76.056
1992,4,93347,18.42,76.097,122.4,1207,7595.9,3.1,40829,7.3,76.278
1993,8,95669,21.764,76.488,128.5,1139,7646.9,2.96,40942,7.6,76.837
1994,11,99627,24.183,76.875,136.5,1342,8060.2,5.54,42618,5.8,79.919
1995,12,98990,21.577,77.257,138.0,1265,8102.0,5.51,42885,5.8,80.661
1996,2,103874,24.396,77.636,140.4,1377,8444.0,5.29,44421,5.2,82.75200000000001
1997,6,101018,23.506,78.008,141.1,1334,8834.8,5.5,45862,4.8,85.331
1998,12,101018,20.573,78.377,141.1,1404,9270.0,5.49,46504,4.4,90.31
1999,8,99627,21.577,78.742,141.1,1528,9484.1,5.08,48632,4.7,94.785
2000,2,108209,20.607,79.057,144.9,1636,10110.3,5.91,49783,4.4,107.382
2001,4,104705,20.573,79.234,142.4,1512,10233.1,3.78,49911,4.9,112.164
2002,10,111278,24.183,79.409,142.9,1601,10648.2,1.75,50091,5.7,119.611
2003,4,113343,27.651,79.583,147.0,1641,10752.7,1.01,50462,6.1,133.77700000000002
2004,4,109297,27.201,79.757,165.5,1845,11215.8,1.64,53242,5.3,152.63299999999998
2005,12,109297,27.201,79.928,167.8,1893,11304.2,3.25,54317,4.9,170.88
2006,10,116011,28.604,80.099,179.8,1936,11751.9,3.26,54341,5.3,165.905
2007,7,116011,27.201,80.269,183.7,1431,12070.1,4.29,55497,4.8,178.116
2008,7,116011,29.876,80.438,184.3,1347,12120.5,3.62,55454,4.9,179.68
2009,11,117181,28.604,80.606,187.1,765,12241.9,0.18,53221,9.9,147.94899999999998
2010,11,119927,32.883,80.772,193.9,572,12544.3,0.16,54317,9.5,142.173
2011,9,117181,29.876,80.944,202.7,566,12756.9,0.16,54569,9.0,139.862
2012,10,121084,33.806,81.119,205.5,689,13148.0,0.1,55260,8.2,145.059
2013,2,122459,33.283,81.299,208.3,746,12954.2,0.09,55649,7.3,155.60399999999998
2014,7,122459,37.55,81.483,215.5,839,13312.9,0.08,56345,6.3,162.525
2015,7,123229,37.55,81.671,213.3,985,13842.0,0.09,58470,5.3,170.88
2016,9,127586,34.859,81.862,215.0,1076,14104.9,0.33,59296,4.7,183.01
2017,11,128451,35.771,82.058,224.1,1123,14748.6,0.63,60099,4.6,195.958
2018,11,128579,40.185,82.256,231.3,1142,14886.6,1.25,62333,4.4,199.961
2019,12,128579,40.185,82.459,240.0,1262,16109.3,1.91,63257,3.7,215.837
2020,11,131434,48.021,82.664,237.0,988,16791.7,0.1,61093,7.6,216.801
2021,10,129224,44.147,82.873,317.136,1278,16736.3,1.01,65286,5.9,270.402
2022,1,131202,45.299,83.084,343.786,1353,16028.1,2.5,65286,3.7,297.025
1972,2,63401,2.081,73.653,43.4,1934,4130.6,4.12,27478,6.0,65.563
1947,1,42182,0.21,71.508,22.2,1302,2359.5,1.26,15248,3.8,69.263
1947,2,34949,0.21,71.508,22.5,1276,2325.4,1.16,15228,4.0,68.506
1947,3,34949,0.234,71.879,22.9,1090,2325.4,0.68,15204,3.7,67.33
1947,4,34949,0.176,70.757,23.2,1334,2370.8,1.22,15250,4.0,67.73899999999999
1947,5,42182,0.176,71.879,23.3,1262,2353.8,0.93,15248,3.5,67.33
1947,6,42182,0.159,71.879,23.2,1076,2325.4,0.63,15250,4.0,68.858
1947,7,39107,0.176,70.757,23.4,1323,2370.8,1.01,15204,3.7,68.858
1947,8,43554,0.146,72.247,23.7,1259,2399.7,0.98,15137,4.0,68.858
1947,9,43554,0.21,71.879,24.1,1323,2359.5,1.04,15204,4.0,69.977
1947,10,40532,0.21,71.508,24.3,1344,2399.7,1.04,15204,4.0,70.426
1947,11,40532,0.176,71.134,24.6,1174,2399.7,0.98,15228,4.2,70.426
1947,12,40532,0.176,71.879,24.8,1248,2325.4,0.98,15248,3.9,69.263
1948,1,40532,0.176,72.247,25.2,1281,2370.8,1.03,15137,3.9,69.263
1948,2,43554,0.21,72.247,25.3,1298,2325.4,1.15,15228,4.5,67.73899999999999
1948,3,43554,0.159,71.508,25.5,1247,2353.8,0.93,15228,3.7,69.263
1948,4,34949,0.146,71.134,25.5,1323,2325.4,1.15,15204,3.8,68.107
1948,5,43554,0.159,70.757,25.7,1247,2359.5,0.98,15248,4.0,67.33
1948,6,43554,0.21,70.757,25.8,1076,2353.8,0.85,15248,3.8,68.506
1948,7,40532,0.195,71.508,26.1,1322,2353.8,1.01,15248,3.8,68.858
1948,8,39107,0.146,71.879,26.7,1267,2370.8,0.93,15250,3.8,69.64
1948,9,43554,0.195,71.508,26.8,1322,2399.7,1.16,15585,3.7,69.977
1948,10,44673,0.195,70.757,26.7,1322,2399.7,1.01,15530,4.0,69.263
1948,11,43554,0.146,71.879,26.6,1322,2353.8,1.15,15585,3.8,68.858
1948,12,44673,0.176,71.508,26.5,1322,2370.8,1.0,15530,3.9,70.426
1949,1,44673,0.176,71.879,26.4,1331,2325.4,1.03,15530,5.2,67.73899999999999
1949,2,45538,0.195,71.134,26.2,1278,2370.8,0.98,15585,5.6,67.33
1949,3,43554,0.327,70.377,26.1,1356,2370.8,1.15,15228,5.9,66.071
1949,4,44673,0.278,70.377,25.9,1390,2399.7,1.01,15250,6.1,66.071
1949,5,42182,0.21,71.134,25.6,1240,2359.5,0.93,15137,4.1,67.73899999999999
1949,6,42182,0.195,70.377,25.4,1386,2370.8,1.01,15228,6.1,68.506
1949,7,42182,0.176,70.757,25.1,1374,2325.4,1.0,15137,4.1,68.858
1949,8,44673,0.176,71.879,25.0,1246,2359.5,0.97,15228,4.2,69.64
1949,9,42182,0.176,72.247,25.0,1013,2370.8,0.77,15137,4.4,70.426
1949,10,44673,0.176,71.134,25.1,1109,2353.8,0.85,15228,4.4,69.263
1949,11,42182,0.195,71.879,25.2,1267,2325.4,0.98,15248,4.3,70.426
1949,12,40532,0.176,71.134,25.3,1313,2325.4,0.93,15248,6.3,68.107
1950,1,42182,0.195,71.134,25.6,1281,2370.8,1.15,15563,4.3,69.263
1950,2,42182,0.159,71.508,25.8,1293,2353.8,1.01,15530,4.4,67.73899999999999
1950,3,43554,0.159,70.377,26.0,1107,2370.8,0.77,15563,5.8,68.506
1950,4,44673,0.21,71.134,26.2,1109,2370.8,0.68,15559,4.0,67.33
1950,5,45538,0.21,72.247,26.6,1344,2325.4,1.07,15563,4.1,68.506
1950,6,42182,0.21,71.879,26.9,1289,2370.8,1.04,15530,4.4,68.107
1950,7,46385,0.21,71.879,27.3,1323,2353.8,1.04,15530,4.2,69.64
1950,8,46385,0.176,70.377,28.0,1328,2399.7,0.9,15977,6.0,69.263
1950,9,42182,0.195,70.757,28.6,1314,2399.7,1.01,15585,4.6,69.64
1950,10,43554,0.146,71.879,29.0,1374,2399.7,1.22,15585,4.0,69.977
1950,11,44673,0.176,72.247,29.1,1323,2399.7,1.3,16524,3.9,69.263
1950,12,45538,0.21,70.757,29.6,1306,2353.8,1.04,16764,3.9,68.858
1951,1,46385,0.21,72.612,30.1,1293,2325.4,1.24,17420,3.7,68.107
1951,2,46385,0.234,70.757,30.2,1328,2353.8,1.17,17375,3.5,69.263
1951,3,43554,0.195,71.508,30.2,1310,2399.7,1.26,17420,3.2,68.506
1951,4,42182,0.176,72.247,30.2,1314,2353.8,1.2,17147,2.9,68.506
1951,5,43554,0.176,71.508,30.2,1289,2370.8,1.53,17509,3.2,67.73899999999999
1951,6,46962,0.21,71.879,30.0,1323,2370.8,1.15,17147,3.0,68.107
1951,7,43554,0.21,71.879,29.9,1322,2359.5,1.22,17147,3.0,69.263
1951,8,46962,0.195,70.757,29.7,1314,2399.7,1.0,17459,2.9,68.858
1951,9,46962,0.176,71.134,29.7,1323,2325.4,1.04,17509,3.1,69.64
1951,10,44673,0.195,71.508,29.7,1332,2370.8,1.34,17459,3.1,70.426
1951,11,44673,0.176,71.508,29.6,1306,2370.8,1.26,17375,3.0,68.858
1951,12,42182,0.195,72.247,29.5,1322,2370.8,1.0,17375,3.1,69.977
1952,1,46962,0.195,72.247,29.5,1293,2353.8,1.26,17509,3.1,68.107
1952,2,44673,0.234,71.879,29.5,1298,2399.7,1.2,17490,3.0,68.107
1952,3,46385,0.195,71.508,29.5,1328,2353.8,1.15,17490,3.4,69.263
1952,4,46962,0.195,71.508,29.6,1289,2399.7,1.26,17584,3.2,68.107
1952,5,45538,0.195,71.134,29.5,1323,2359.5,1.0,17584,2.9,68.107
1952,6,46962,0.234,71.134,29.5,1289,2353.8,1.04,17636,3.1,67.33
1952,7,46385,0.21,72.612,29.5,1312,2370.8,1.3,17509,2.9,69.977
1952,8,45538,0.234,71.134,29.7,1289,2399.7,1.26,17960,3.2,69.64
1952,9,44673,0.234,71.879,29.7,1314,2359.5,1.3,17490,3.0,68.858
1952,10,48902,0.195,71.508,29.7,1347,2370.8,1.53,17490,3.1,69.263
1952,11,46962,0.21,71.879,29.6,1367,2325.4,1.01,17636,3.5,69.263
1952,12,46385,0.159,71.134,29.6,1367,2399.7,1.22,17584,3.5,69.64
1953,1,45538,0.21,72.612,29.6,1293,2370.8,1.29,18001,2.6,69.263
1953,2,46385,0.176,71.879,29.7,1298,2325.4,1.24,17960,3.5,68.107
1953,3,45538,0.159,71.508,29.8,1334,2325.4,1.26,18155,2.5,68.506
1953,4,46385,0.234,71.134,30.0,1344,2370.8,1.22,18001,2.9,67.73899999999999
1953,5,47874,0.159,71.879,30.1,1344,2359.5,1.26,18268,3.0,69.263
1953,6,47874,0.195,72.247,30.1,1344,2353.8,1.03,17797,2.6,69.263
1953,7,47874,0.195,70.377,30.4,1374,2399.7,1.04,17636,2.9,68.107
1953,8,46385,0.159,71.879,30.2,1333,2399.7,1.15,18155,2.9,69.64
1953,9,46385,0.159,71.134,30.1,1344,2370.8,1.3,17701,2.9,69.64
1953,10,44673,0.195,71.879,30.0,1314,2353.8,1.15,18001,3.1,69.64
1953,11,46385,0.195,72.247,29.9,1344,2353.8,1.03,17636,2.5,70.426
1953,12,47874,0.159,71.134,29.9,1314,2325.4,1.01,17797,3.1,70.426
1954,1,46385,0.176,71.508,29.9,1293,2353.8,1.15,17797,4.4,68.506
1954,2,46962,0.21,71.134,29.8,1294,2325.4,1.53,17960,4.9,68.107
1954,3,47874,0.159,71.508,29.8,1310,2353.8,1.26,17636,4.2,69.263
1954,4,44673,0.195,71.134,29.6,1342,2376.6,1.04,17636,5.9,67.33
1954,5,47874,0.159,71.879,29.7,1322,2399.7,1.0,18001,4.2,67.33
1954,6,45538,0.327,69.996,29.6,1053,2370.8,0.85,18032,5.4,66.071
1954,7,46385,0.195,72.247,30.1,1314,2359.5,1.01,18001,4.4,69.64
1954,8,46385,0.159,71.879,30.2,1374,2370.8,1.0,18001,4.5,69.64
1954,9,47874,0.195,71.134,30.4,1332,2353.8,1.22,18001,4.9,70.426
1954,10,46962,0.195,70.377,30.4,1367,2325.4,1.01,17797,4.5,69.64
1954,11,46962,0.146,71.508,30.5,1386,2399.7,1.22,17701,6.1,68.107
1954,12,43554,0.146,69.996,30.5,1242,2370.8,1.15,18268,5.7,68.858
1955,1,48902,0.195,72.247,30.5,1298,2399.7,1.17,18032,4.5,68.107
1955,2,46385,0.21,71.508,30.7,1256,2359.5,1.16,18155,4.5,68.506
1955,3,46962,0.146,71.508,30.7,1334,2353.8,1.21,18032,4.3,67.73899999999999
1955,4,47874,0.159,71.508,30.9,1314,2359.5,1.43,18032,4.3,67.73899999999999
1955,5,46385,0.176,72.247,31.0,1323,2325.4,1.24,18081,4.4,68.506
1955,6,47874,0.195,71.879,31.0,1344,2370.8,1.28,18396,4.3,68.858
1955,7,47874,0.176,70.377,31.5,1374,2370.8,1.43,18268,4.2,69.263
1955,8,50474,0.159,70.757,31.9,1323,2359.5,1.43,18081,4.3,69.977
1955,9,51435,0.195,70.757,32.1,1323,2359.5,1.82,18419,4.4,69.263
1955,10,48902,0.159,72.247,32.2,1314,2399.7,2.01,18881,4.3,69.64
1955,11,48902,0.195,71.508,32.0,1322,2399.7,1.34,18155,4.3,69.977
1955,12,48902,0.176,70.757,32.1,1306,2399.7,2.48,18582,4.9,69.263
1956,1,48902,0.195,71.134,32.4,1281,2325.4,2.43,18582,4.2,67.33
1956,2,51435,0.195,72.612,32.4,1298,2399.7,2.18,18658,4.1,68.107
